"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 25 14:29:02 GMT 2024","Sun Aug 25 14:29:05 GMT 2024","2838","","TestSuite UserProfile","","ru.itmo.UserProfileTest","testCaseClickPersonalAccountButtonRedirectedToProfilePage","TestCase ClickPersonalAccountButtonRedirectedToProfilePage",""
"passed","Sun Aug 25 14:29:05 GMT 2024","Sun Aug 25 14:29:07 GMT 2024","1778","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError","TestCase UserRegistration_InvalidPassword_GetError",""
"passed","Sun Aug 25 14:28:54 GMT 2024","Sun Aug 25 14:29:02 GMT 2024","7560","","TestSuite UserProfile","","ru.itmo.UserProfileTest","testCaseClickConstructorRedirectedToMainPage","TestCase ClickConstructorRedirectedToMainPage",""
