"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 01 18:10:32 GMT 2024","Mon Apr 01 18:10:32 GMT 2024","148","","TestSuite UserRegistration2","","ru.itmo.UserRegistration2Test","testCaseUserRegistration_InvalidPassword_GetError","TestCase UserRegistration_InvalidPassword_GetError",""
"broken","Mon Apr 01 18:10:32 GMT 2024","Mon Apr 01 18:10:32 GMT 2024","150","","TestSuite UserRegistration2","","ru.itmo.UserRegistration2Test","testCaseUserRegistration_InvalidPassword_GetError3","TestCase UserRegistration_InvalidPassword_GetError3",""
"broken","Mon Apr 01 18:10:31 GMT 2024","Mon Apr 01 18:10:32 GMT 2024","158","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError3","TestCase UserRegistration_InvalidPassword_GetError3",""
"broken","Mon Apr 01 18:10:32 GMT 2024","Mon Apr 01 18:10:32 GMT 2024","173","","TestSuite UserRegistration2","","ru.itmo.UserRegistration2Test","testCaseUserRegistration_InvalidPassword_GetError2","TestCase UserRegistration_InvalidPassword_GetError2",""
"broken","Mon Apr 01 18:10:29 GMT 2024","Mon Apr 01 18:10:31 GMT 2024","2364","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError2","TestCase UserRegistration_InvalidPassword_GetError2",""
"broken","Mon Apr 01 18:10:32 GMT 2024","Mon Apr 01 18:10:32 GMT 2024","155","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError","TestCase UserRegistration_InvalidPassword_GetError",""
