"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 25 14:29:56 GMT 2024","Sun Aug 25 14:30:03 GMT 2024","6434","","TestSuite UserProfile","","ru.itmo.UserProfileTest","testCaseClickConstructorRedirectedToMainPage","TestCase ClickConstructorRedirectedToMainPage",""
"passed","Sun Aug 25 14:30:03 GMT 2024","Sun Aug 25 14:30:05 GMT 2024","2820","","TestSuite UserProfile","","ru.itmo.UserProfileTest","testCaseClickPersonalAccountButtonRedirectedToProfilePage","TestCase ClickPersonalAccountButtonRedirectedToProfilePage",""
"passed","Sun Aug 25 14:30:05 GMT 2024","Sun Aug 25 14:30:07 GMT 2024","1688","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError","TestCase UserRegistration_InvalidPassword_GetError",""
