"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 01 18:44:09 GMT 2024","Mon Apr 01 18:44:09 GMT 2024","164","","TestSuite UserRegistration2","","ru.itmo.UserRegistration2Test","testCaseUserRegistration_InvalidPassword_GetError","TestCase UserRegistration_InvalidPassword_GetError",""
"broken","Mon Apr 01 18:44:06 GMT 2024","Mon Apr 01 18:44:08 GMT 2024","2321","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError2","TestCase UserRegistration_InvalidPassword_GetError2",""
"broken","Mon Apr 01 18:44:08 GMT 2024","Mon Apr 01 18:44:08 GMT 2024","163","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError3","TestCase UserRegistration_InvalidPassword_GetError3",""
"broken","Mon Apr 01 18:44:08 GMT 2024","Mon Apr 01 18:44:09 GMT 2024","161","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError","TestCase UserRegistration_InvalidPassword_GetError",""
"broken","Mon Apr 01 18:44:09 GMT 2024","Mon Apr 01 18:44:09 GMT 2024","175","","TestSuite UserRegistration2","","ru.itmo.UserRegistration2Test","testCaseUserRegistration_InvalidPassword_GetError2","TestCase UserRegistration_InvalidPassword_GetError2",""
"broken","Mon Apr 01 18:44:09 GMT 2024","Mon Apr 01 18:44:09 GMT 2024","154","","TestSuite UserRegistration2","","ru.itmo.UserRegistration2Test","testCaseUserRegistration_InvalidPassword_GetError3","TestCase UserRegistration_InvalidPassword_GetError3",""
