"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 01 19:20:17 GMT 2024","Mon Apr 01 19:20:38 GMT 2024","21000","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError2","TestCase UserRegistration_InvalidPassword_GetError2",""
"broken","Mon Apr 01 19:20:42 GMT 2024","Mon Apr 01 19:20:45 GMT 2024","2902","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError","TestCase UserRegistration_InvalidPassword_GetError",""
"passed","Mon Apr 01 19:20:45 GMT 2024","Mon Apr 01 19:20:49 GMT 2024","3671","","TestSuite UserRegistration2","","ru.itmo.UserRegistration2Test","testCaseUserRegistration_InvalidPassword_GetError2","TestCase UserRegistration_InvalidPassword_GetError2",""
"passed","Mon Apr 01 19:20:38 GMT 2024","Mon Apr 01 19:20:42 GMT 2024","3738","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError3","TestCase UserRegistration_InvalidPassword_GetError3",""
"passed","Mon Apr 01 19:20:49 GMT 2024","Mon Apr 01 19:20:50 GMT 2024","1538","","TestSuite UserRegistration2","","ru.itmo.UserRegistration2Test","testCaseUserRegistration_InvalidPassword_GetError3","TestCase UserRegistration_InvalidPassword_GetError3",""
"broken","Mon Apr 01 19:20:50 GMT 2024","Mon Apr 01 19:20:52 GMT 2024","2245","","TestSuite UserRegistration2","","ru.itmo.UserRegistration2Test","testCaseUserRegistration_InvalidPassword_GetError","TestCase UserRegistration_InvalidPassword_GetError",""
