"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 05 12:24:23 GMT 2024","Fri Apr 05 12:24:25 GMT 2024","1679","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError","TestCase UserRegistration_InvalidPassword_GetError",""
"passed","Fri Apr 05 12:23:16 GMT 2024","Fri Apr 05 12:24:19 GMT 2024","62985","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError2","TestCase UserRegistration_InvalidPassword_GetError2",""
"passed","Fri Apr 05 12:24:19 GMT 2024","Fri Apr 05 12:24:23 GMT 2024","3728","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError3","TestCase UserRegistration_InvalidPassword_GetError3",""
