"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 01 18:56:13 GMT 2024","Mon Apr 01 18:56:16 GMT 2024","2937","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError","TestCase UserRegistration_InvalidPassword_GetError",""
"passed","Mon Apr 01 18:56:16 GMT 2024","Mon Apr 01 18:56:20 GMT 2024","3944","","TestSuite UserRegistration2","","ru.itmo.UserRegistration2Test","testCaseUserRegistration_InvalidPassword_GetError2","TestCase UserRegistration_InvalidPassword_GetError2",""
"passed","Mon Apr 01 18:56:20 GMT 2024","Mon Apr 01 18:56:23 GMT 2024","3148","","TestSuite UserRegistration2","","ru.itmo.UserRegistration2Test","testCaseUserRegistration_InvalidPassword_GetError3","TestCase UserRegistration_InvalidPassword_GetError3",""
"passed","Mon Apr 01 18:55:54 GMT 2024","Mon Apr 01 18:56:09 GMT 2024","15424","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError2","TestCase UserRegistration_InvalidPassword_GetError2",""
"broken","Mon Apr 01 18:56:23 GMT 2024","Mon Apr 01 18:56:25 GMT 2024","1453","","TestSuite UserRegistration2","","ru.itmo.UserRegistration2Test","testCaseUserRegistration_InvalidPassword_GetError","TestCase UserRegistration_InvalidPassword_GetError",""
"passed","Mon Apr 01 18:56:09 GMT 2024","Mon Apr 01 18:56:13 GMT 2024","4079","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError3","TestCase UserRegistration_InvalidPassword_GetError3",""
