"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 11 15:10:54 GMT 2024","Thu Apr 11 15:10:58 GMT 2024","4460","","TestSuite UserProfile","","ru.itmo.UserProfileTest","testCaseClickPersonalAccountButtonRedirectedToProfilePage","TestCase ClickPersonalAccountButtonRedirectedToProfilePage",""
"passed","Thu Apr 11 15:10:39 GMT 2024","Thu Apr 11 15:10:54 GMT 2024","14408","","TestSuite UserProfile","","ru.itmo.UserProfileTest","testCaseClickConstructorRedirectedToMainPage","TestCase ClickConstructorRedirectedToMainPage",""
"passed","Thu Apr 11 15:10:58 GMT 2024","Thu Apr 11 15:11:02 GMT 2024","3694","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError","TestCase UserRegistration_InvalidPassword_GetError",""
