"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 01 19:36:36 GMT 2024","Mon Apr 01 19:36:38 GMT 2024","1622","","TestSuite UserRegistration2","","ru.itmo.UserRegistration2Test","testCaseUserRegistration_InvalidPassword_GetError2","TestCase UserRegistration_InvalidPassword_GetError2",""
"passed","Mon Apr 01 19:36:32 GMT 2024","Mon Apr 01 19:36:35 GMT 2024","2780","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError3","TestCase UserRegistration_InvalidPassword_GetError3",""
"passed","Mon Apr 01 19:36:38 GMT 2024","Mon Apr 01 19:36:39 GMT 2024","1446","","TestSuite UserRegistration2","","ru.itmo.UserRegistration2Test","testCaseUserRegistration_InvalidPassword_GetError3","TestCase UserRegistration_InvalidPassword_GetError3",""
"broken","Mon Apr 01 19:36:39 GMT 2024","Mon Apr 01 19:36:41 GMT 2024","1422","","TestSuite UserRegistration2","","ru.itmo.UserRegistration2Test","testCaseUserRegistration_InvalidPassword_GetError","TestCase UserRegistration_InvalidPassword_GetError",""
"broken","Mon Apr 01 19:36:35 GMT 2024","Mon Apr 01 19:36:36 GMT 2024","1570","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError","TestCase UserRegistration_InvalidPassword_GetError",""
"passed","Mon Apr 01 19:36:26 GMT 2024","Mon Apr 01 19:36:32 GMT 2024","5921","","TestSuite UserRegistration","","ru.itmo.UserRegistrationTest","testCaseUserRegistration_InvalidPassword_GetError2","TestCase UserRegistration_InvalidPassword_GetError2",""
